
Year,Month,Day,Title,Holiday
1401,11,1,زادروز فردوسی,0
1401,11,2,بهمن روز جشن بهمنگان,0
1401,11,3,ولادت  امام محمد باقر علیه السلام,0
1401,11,5,جشن نوسره,0
1401,11,5,شهادت امام علی النقی الهادی علیه السلام,0
1401,11,10,جشن سده,0
1401,11,12,بازگشت امام خمینی (ره) به ایران,0
1401,11,12,ولادت امام محمد تقی علیه السلام,0
1401,11,15,جشن میانه زمستان,0
1401,11,15,ولادت امام علی علیه السلام و روز پدر,1
1401,11,17,وفات حضرت زینب سلام الله علیها,0
1401,11,19,روز نیروی هوایی,0
1401,11,22,پیروزی انقلاب اسلامی,1
1401,11,22,حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران,0
1401,11,23,زادروز چارلز داروین بنیانگذار نظریه ی فرگشت از طریق انتخاب طبیعی,0
1401,11,25,جشن ولنتاین,0
1401,11,27,شهادت امام موسی کاظم علیه السلام,0
1401,11,29,جشن سپندارمذگان و روز عشق,0
1401,11,29,مبعث رسول اکرم (ص),1
1401,11,29,فاجعه انفجار قطار نیشابور [1382 خورشیدی],0
